Date time,Platform,Version,What changed,Why,What affected,Criticality,Impact / broke,Overlooked
2026-08-27T10:51:50+05:30,Git+Vercel+VPS,5db587e,"Add cancelled-call digests, attendance activity report, and midnight CRM delta. (+5 more)",git push notify (auto),"src/lib/read-model, src/modules/mis-email, scripts/vps-hosting, src/modules/mis, src/modules/subcontractor-stock, docs",HIGH,"Read-model / sync-worker code changed — if VPS release is stale, daemon can crash-loop (missing module). HIGH criticality paths/messages — re-test auth/reports/sync after deploy.",Vercel: push to main auto-deploys wrl-dashboard. Confirm deploy Ready (not Error) before trusting UI. VPS: not auto-updated by git push. Run sync-worker deploy (npm run sync-worker:deploy:vps) if workers/SQL changed — or sync-worker can crash (missing modules). Vercel check: VERCEL_TOKEN not set — skipped deploy check
2026-08-27T11:06:47+05:30,Git+Vercel,8016bc2,Fix Vercel build: export mergeBranchPerformanceRowsByName for digest compose.,git push notify (auto),"src/modules/mis-email, .gitignore",MED,no evidence of breakage in this push range,Vercel: push to main auto-deploys wrl-dashboard. Confirm deploy Ready (not Error) before trusting UI. Vercel check: VERCEL_TOKEN not set — skipped deploy check
